tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,140,11,0,7.2848,0.0000
2,152,140,12,0,7.8947,0.0000
3,153,141,12,0,7.8431,0.0000
4,154,142,12,0,7.7922,0.0000
5,156,143,13,0,8.3333,0.0000
6,156,143,13,0,8.3333,0.0000
7,156,143,13,0,8.3333,0.0000
8,157,143,14,0,8.9172,0.0000
9,160,146,14,0,8.7500,0.0000
10,160,146,14,0,8.7500,0.0000
11,161,144,17,0,10.5590,0.0000
12,163,142,21,0,12.8834,0.0000
13,164,142,22,0,13.4146,0.0000
14,165,141,24,0,14.5455,0.0000
15,165,140,25,0,15.1515,0.0000
16,166,139,27,0,16.2651,0.0000
17,167,140,27,0,16.1677,0.0000
18,169,140,29,0,17.1598,0.0000
19,169,138,31,0,18.3432,0.0000
20,170,136,34,0,20.0000,0.0000
21,169,135,25,9,14.7929,5.3254
22,171,134,28,9,16.3743,5.2632
23,171,133,28,10,16.3743,5.8480
24,175,132,33,10,18.8571,5.7143
25,178,133,34,11,19.1011,6.1798
26,181,131,39,11,21.5470,6.0773
27,182,131,40,11,21.9780,6.0440
28,183,127,45,11,24.5902,6.0109
29,184,125,47,12,25.5435,6.5217
30,186,122,52,12,27.9570,6.4516
31,189,121,55,13,29.1005,6.8783
32,189,120,54,15,28.5714,7.9365
33,189,121,50,18,26.4550,9.5238
34,190,120,52,18,27.3684,9.4737
35,191,120,51,20,26.7016,10.4712
36,192,119,51,22,26.5625,11.4583
37,193,119,52,22,26.9430,11.3990
38,193,117,54,22,27.9793,11.3990
39,197,118,56,23,28.4264,11.6751
40,196,116,55,25,28.0612,12.7551
41,198,117,55,26,27.7778,13.1313
42,200,114,56,30,28.0000,15.0000
43,200,114,56,30,28.0000,15.0000
44,200,113,56,31,28.0000,15.5000
45,200,111,55,34,27.5000,17.0000
46,199,108,55,36,27.6382,18.0905
47,200,105,56,39,28.0000,19.5000
48,202,104,57,41,28.2178,20.2970
49,203,104,56,43,27.5862,21.1823
50,203,104,52,47,25.6158,23.1527
51,204,103,52,49,25.4902,24.0196
52,205,102,52,51,25.3659,24.8780
53,207,105,50,52,24.1546,25.1208
54,207,103,51,53,24.6377,25.6039
55,208,99,54,55,25.9615,26.4423
56,207,96,54,57,26.0870,27.5362
57,209,96,56,57,26.7943,27.2727
58,210,97,54,59,25.7143,28.0952
59,209,97,52,60,24.8804,28.7081
60,213,99,51,63,23.9437,29.5775
61,213,97,51,65,23.9437,30.5164
62,214,98,47,69,21.9626,32.2430
63,215,97,48,70,22.3256,32.5581
64,217,97,48,72,22.1198,33.1797
65,218,96,49,73,22.4771,33.4862
66,224,100,48,76,21.4286,33.9286
67,225,100,46,79,20.4444,35.1111
68,225,99,44,82,19.5556,36.4444
69,227,98,45,84,19.8238,37.0044
70,226,97,43,86,19.0265,38.0531
71,229,98,44,87,19.2140,37.9913
72,232,101,42,89,18.1034,38.3621
73,234,111,42,81,17.9487,34.6154
74,234,108,45,81,19.2308,34.6154
75,235,109,41,85,17.4468,36.1702
76,234,108,38,88,16.2393,37.6068
77,238,112,36,90,15.1261,37.8151
78,241,115,35,91,14.5228,37.7593
79,248,117,39,92,15.7258,37.0968
80,249,116,41,92,16.4659,36.9478
81,248,112,44,92,17.7419,37.0968
82,248,107,48,93,19.3548,37.5000
83,249,110,46,93,18.4739,37.3494
84,253,115,45,93,17.7866,36.7589
85,254,117,46,91,18.1102,35.8268
86,256,120,43,93,16.7969,36.3281
87,258,121,46,91,17.8295,35.2713
88,259,122,45,92,17.3745,35.5212
89,257,122,41,94,15.9533,36.5759
90,256,120,42,94,16.4062,36.7188
91,259,125,41,93,15.8301,35.9073
92,260,124,43,93,16.5385,35.7692
93,261,122,45,94,17.2414,36.0153
94,266,129,47,90,17.6692,33.8346
95,265,127,45,93,16.9811,35.0943
96,266,127,47,92,17.6692,34.5865
97,269,130,49,90,18.2156,33.4572
98,271,132,50,89,18.4502,32.8413
99,271,131,51,89,18.8192,32.8413
100,274,133,51,90,18.6131,32.8467
101,275,134,48,93,17.4545,33.8182
102,274,137,44,93,16.0584,33.9416
103,276,137,46,93,16.6667,33.6957
104,278,136,50,92,17.9856,33.0935
