tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,141,10,0,6.6225,0.0000
2,154,144,10,0,6.4935,0.0000
3,157,147,10,0,6.3694,0.0000
4,161,149,12,0,7.4534,0.0000
5,164,152,12,0,7.3171,0.0000
6,165,153,12,0,7.2727,0.0000
7,165,153,12,0,7.2727,0.0000
8,166,154,12,0,7.2289,0.0000
9,167,155,12,0,7.1856,0.0000
10,170,158,12,0,7.0588,0.0000
11,170,158,12,0,7.0588,0.0000
12,170,158,12,0,7.0588,0.0000
13,172,160,12,0,6.9767,0.0000
14,174,162,12,0,6.8966,0.0000
15,174,162,12,0,6.8966,0.0000
16,175,163,12,0,6.8571,0.0000
17,181,168,13,0,7.1823,0.0000
18,184,170,14,0,7.6087,0.0000
19,186,172,14,0,7.5269,0.0000
20,187,173,14,0,7.4866,0.0000
21,188,176,4,8,2.1277,4.2553
22,188,175,5,8,2.6596,4.2553
23,191,178,5,8,2.6178,4.1885
24,193,180,3,10,1.5544,5.1813
25,195,182,3,10,1.5385,5.1282
26,197,184,3,10,1.5228,5.0761
27,198,185,3,10,1.5152,5.0505
28,200,187,3,10,1.5000,5.0000
29,203,190,3,10,1.4778,4.9261
30,204,191,3,10,1.4706,4.9020
31,205,192,3,10,1.4634,4.8780
32,206,193,3,10,1.4563,4.8544
33,207,194,3,10,1.4493,4.8309
34,208,195,3,10,1.4423,4.8077
35,212,199,3,10,1.4151,4.7170
36,212,198,4,10,1.8868,4.7170
37,214,200,4,10,1.8692,4.6729
38,214,201,3,10,1.4019,4.6729
39,216,203,2,11,0.9259,5.0926
40,218,205,2,11,0.9174,5.0459
41,219,206,2,11,0.9132,5.0228
42,220,207,2,11,0.9091,5.0000
43,222,208,2,12,0.9009,5.4054
44,224,210,2,12,0.8929,5.3571
45,228,214,2,12,0.8772,5.2632
46,229,215,2,12,0.8734,5.2402
47,231,217,2,12,0.8658,5.1948
48,234,220,2,12,0.8547,5.1282
49,238,224,2,12,0.8403,5.0420
50,243,229,2,12,0.8230,4.9383
51,244,230,2,12,0.8197,4.9180
52,247,233,2,12,0.8097,4.8583
53,252,238,2,12,0.7937,4.7619
54,256,242,2,12,0.7812,4.6875
55,256,242,2,12,0.7812,4.6875
56,257,242,2,13,0.7782,5.0584
57,258,243,2,13,0.7752,5.0388
58,259,244,2,13,0.7722,5.0193
59,265,250,2,13,0.7547,4.9057
60,268,253,2,13,0.7463,4.8507
61,269,254,2,13,0.7435,4.8327
62,271,255,3,13,1.1070,4.7970
63,270,254,2,14,0.7407,5.1852
64,271,255,2,14,0.7380,5.1661
65,273,257,2,14,0.7326,5.1282
66,275,259,2,14,0.7273,5.0909
67,280,264,2,14,0.7143,5.0000
68,282,266,2,14,0.7092,4.9645
69,284,268,2,14,0.7042,4.9296
70,291,275,2,14,0.6873,4.8110
71,291,275,2,14,0.6873,4.8110
72,294,278,2,14,0.6803,4.7619
73,296,287,3,6,1.0135,2.0270
74,298,289,3,6,1.0067,2.0134
75,301,292,3,6,0.9967,1.9934
76,301,294,2,5,0.6645,1.6611
77,301,294,2,5,0.6645,1.6611
78,301,293,3,5,0.9967,1.6611
79,301,293,3,5,0.9967,1.6611
80,301,293,3,5,0.9967,1.6611
81,301,292,4,5,1.3289,1.6611
82,301,292,3,6,0.9967,1.9934
83,301,292,3,6,0.9967,1.9934
84,301,292,3,6,0.9967,1.9934
85,301,292,3,6,0.9967,1.9934
86,301,292,3,6,0.9967,1.9934
87,301,292,3,6,0.9967,1.9934
88,301,292,3,6,0.9967,1.9934
89,301,292,3,6,0.9967,1.9934
90,301,292,3,6,0.9967,1.9934
91,301,293,3,5,0.9967,1.6611
92,301,293,3,5,0.9967,1.6611
93,301,293,3,5,0.9967,1.6611
