tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,140,11,0,7.2848,0.0000
2,152,139,13,0,8.5526,0.0000
3,153,139,14,0,9.1503,0.0000
4,154,140,14,0,9.0909,0.0000
5,154,138,16,0,10.3896,0.0000
6,156,140,16,0,10.2564,0.0000
7,156,140,16,0,10.2564,0.0000
8,157,139,18,0,11.4650,0.0000
9,157,139,18,0,11.4650,0.0000
10,157,139,18,0,11.4650,0.0000
11,158,137,21,0,13.2911,0.0000
12,159,137,22,0,13.8365,0.0000
13,159,134,25,0,15.7233,0.0000
14,163,137,26,0,15.9509,0.0000
15,167,141,26,0,15.5689,0.0000
16,170,143,27,0,15.8824,0.0000
17,170,142,28,0,16.4706,0.0000
18,173,145,28,0,16.1850,0.0000
19,174,142,32,0,18.3908,0.0000
20,177,143,34,0,19.2090,0.0000
21,173,144,25,4,14.4509,2.3121
22,173,144,23,6,13.2948,3.4682
23,172,143,22,7,12.7907,4.0698
24,172,138,27,7,15.6977,4.0698
25,174,139,27,8,15.5172,4.5977
26,175,140,27,8,15.4286,4.5714
27,176,138,30,8,17.0455,4.5455
28,175,136,31,8,17.7143,4.5714
29,174,131,35,8,20.1149,4.5977
30,175,130,37,8,21.1429,4.5714
31,176,132,36,8,20.4545,4.5455
32,175,128,39,8,22.2857,4.5714
33,176,126,41,9,23.2955,5.1136
34,178,127,40,11,22.4719,6.1798
35,180,126,43,11,23.8889,6.1111
36,181,122,47,12,25.9669,6.6298
37,181,122,47,12,25.9669,6.6298
38,183,118,53,12,28.9617,6.5574
39,182,118,52,12,28.5714,6.5934
40,181,117,52,12,28.7293,6.6298
41,180,114,52,14,28.8889,7.7778
42,183,116,53,14,28.9617,7.6503
43,184,118,52,14,28.2609,7.6087
44,184,118,52,14,28.2609,7.6087
45,182,116,51,15,28.0220,8.2418
46,181,113,53,15,29.2818,8.2873
47,181,111,55,15,30.3867,8.2873
48,179,108,54,17,30.1676,9.4972
49,179,108,53,18,29.6089,10.0559
50,180,105,55,20,30.5556,11.1111
51,182,99,62,21,34.0659,11.5385
52,182,95,64,23,35.1648,12.6374
53,180,92,63,25,35.0000,13.8889
54,181,92,62,27,34.2541,14.9171
55,182,93,61,28,33.5165,15.3846
56,182,88,63,31,34.6154,17.0330
57,179,85,63,31,35.1955,17.3184
58,180,83,64,33,35.5556,18.3333
59,180,79,64,37,35.5556,20.5556
60,180,76,67,37,37.2222,20.5556
61,178,76,64,38,35.9551,21.3483
62,178,75,64,39,35.9551,21.9101
63,178,74,65,39,36.5169,21.9101
64,182,74,69,39,37.9121,21.4286
65,180,73,67,40,37.2222,22.2222
66,181,70,70,41,38.6740,22.6519
67,180,69,68,43,37.7778,23.8889
68,178,68,67,43,37.6404,24.1573
69,176,65,67,44,38.0682,25.0000
70,174,61,67,46,38.5057,26.4368
71,170,61,62,47,36.4706,27.6471
72,164,60,51,53,31.0976,32.3171
73,164,65,48,51,29.2683,31.0976
74,164,68,47,49,28.6585,29.8780
75,166,69,49,48,29.5181,28.9157
76,167,71,44,52,26.3473,31.1377
77,168,71,43,54,25.5952,32.1429
78,168,71,41,56,24.4048,33.3333
79,166,70,40,56,24.0964,33.7349
80,162,68,38,56,23.4568,34.5679
81,161,64,40,57,24.8447,35.4037
82,161,65,38,58,23.6025,36.0248
83,161,67,36,58,22.3602,36.0248
84,163,68,36,59,22.0859,36.1963
85,162,69,33,60,20.3704,37.0370
86,164,73,31,60,18.9024,36.5854
87,164,73,28,63,17.0732,38.4146
88,164,77,25,62,15.2439,37.8049
89,165,77,26,62,15.7576,37.5758
90,164,77,24,63,14.6341,38.4146
91,163,77,20,66,12.2699,40.4908
92,165,78,21,66,12.7273,40.0000
93,166,79,22,65,13.2530,39.1566
94,167,79,23,65,13.7725,38.9222
95,168,81,21,66,12.5000,39.2857
96,170,82,22,66,12.9412,38.8235
97,172,84,22,66,12.7907,38.3721
98,172,84,21,67,12.2093,38.9535
99,173,85,19,69,10.9827,39.8844
100,173,84,21,68,12.1387,39.3064
101,169,85,16,68,9.4675,40.2367
102,168,88,14,66,8.3333,39.2857
103,169,88,16,65,9.4675,38.4615
104,169,90,16,63,9.4675,37.2781
