tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,140,11,0,7.2848,0.0000
2,154,143,11,0,7.1429,0.0000
3,154,143,11,0,7.1429,0.0000
4,159,146,13,0,8.1761,0.0000
5,163,150,13,0,7.9755,0.0000
6,164,149,15,0,9.1463,0.0000
7,167,152,15,0,8.9820,0.0000
8,168,152,16,0,9.5238,0.0000
9,171,154,17,0,9.9415,0.0000
10,172,154,18,0,10.4651,0.0000
11,172,153,19,0,11.0465,0.0000
12,172,151,21,0,12.2093,0.0000
13,177,154,23,0,12.9944,0.0000
14,178,150,28,0,15.7303,0.0000
15,180,147,33,0,18.3333,0.0000
16,181,142,39,0,21.5470,0.0000
17,182,137,45,0,24.7253,0.0000
18,182,132,50,0,27.4725,0.0000
19,182,131,51,0,28.0220,0.0000
20,182,128,54,0,29.6703,0.0000
21,185,127,58,0,31.3514,0.0000
22,185,122,63,0,34.0541,0.0000
23,187,122,65,0,34.7594,0.0000
24,188,121,67,0,35.6383,0.0000
25,188,120,68,0,36.1702,0.0000
26,190,115,75,0,39.4737,0.0000
27,191,110,81,0,42.4084,0.0000
28,191,106,85,0,44.5026,0.0000
29,192,104,88,0,45.8333,0.0000
30,192,103,89,0,46.3542,0.0000
31,193,98,95,0,49.2228,0.0000
32,193,96,97,0,50.2591,0.0000
33,195,97,98,0,50.2564,0.0000
34,195,94,101,0,51.7949,0.0000
35,196,87,109,0,55.6122,0.0000
36,199,86,113,0,56.7839,0.0000
37,200,84,116,0,58.0000,0.0000
38,200,80,120,0,60.0000,0.0000
39,200,77,123,0,61.5000,0.0000
40,200,72,128,0,64.0000,0.0000
41,198,68,124,6,62.6263,3.0303
42,198,65,126,7,63.6364,3.5354
43,198,64,127,7,64.1414,3.5354
44,199,62,130,7,65.3266,3.5176
45,199,57,133,9,66.8342,4.5226
46,200,55,136,9,68.0000,4.5000
47,203,55,137,11,67.4877,5.4187
48,203,51,141,11,69.4581,5.4187
49,204,49,143,12,70.0980,5.8824
50,204,45,147,12,72.0588,5.8824
51,203,40,150,13,73.8916,6.4039
52,204,34,156,14,76.4706,6.8627
53,204,31,157,16,76.9608,7.8431
54,204,32,154,18,75.4902,8.8235
55,202,31,150,21,74.2574,10.3960
56,201,30,145,26,72.1393,12.9353
57,198,28,141,29,71.2121,14.6465
58,198,28,138,32,69.6970,16.1616
59,198,27,135,36,68.1818,18.1818
60,198,26,135,37,68.1818,18.6869
61,197,24,134,39,68.0203,19.7970
62,195,24,129,42,66.1538,21.5385
63,193,22,128,43,66.3212,22.2798
64,193,20,128,45,66.3212,23.3161
65,194,17,129,48,66.4948,24.7423
66,194,17,126,51,64.9485,26.2887
67,192,16,122,54,63.5417,28.1250
68,192,16,118,58,61.4583,30.2083
69,192,16,113,63,58.8542,32.8125
70,191,16,111,64,58.1152,33.5079
71,190,17,109,64,57.3684,33.6842
72,189,17,104,68,55.0265,35.9788
73,192,17,106,69,55.2083,35.9375
74,191,16,105,70,54.9738,36.6492
75,191,18,99,74,51.8325,38.7435
76,189,17,94,78,49.7354,41.2698
77,189,19,91,79,48.1481,41.7989
78,187,19,87,81,46.5241,43.3155
79,188,20,84,84,44.6809,44.6809
80,187,17,84,86,44.9198,45.9893
81,185,17,79,89,42.7027,48.1081
82,184,16,76,92,41.3043,50.0000
83,185,17,74,94,40.0000,50.8108
84,187,18,73,96,39.0374,51.3369
85,186,19,71,96,38.1720,51.6129
86,186,22,64,100,34.4086,53.7634
87,187,23,62,102,33.1551,54.5455
88,184,24,58,102,31.5217,55.4348
89,184,25,53,106,28.8043,57.6087
90,186,26,51,109,27.4194,58.6022
91,186,27,47,112,25.2688,60.2151
92,186,29,38,119,20.4301,63.9785
93,186,36,35,115,18.8172,61.8280
94,187,38,35,114,18.7166,60.9626
95,188,39,34,115,18.0851,61.1702
96,188,40,33,115,17.5532,61.1702
97,190,44,31,115,16.3158,60.5263
98,190,44,30,116,15.7895,61.0526
99,193,49,29,115,15.0259,59.5855
100,194,49,30,115,15.4639,59.2784
101,191,48,29,114,15.1832,59.6859
102,194,51,28,115,14.4330,59.2784
103,198,56,27,115,13.6364,58.0808
104,199,57,26,116,13.0653,58.2915
