tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,150,138,12,0,8.0000,0.0000
2,152,138,14,0,9.2105,0.0000
3,154,137,17,0,11.0390,0.0000
4,147,139,7,1,4.7619,0.6803
5,146,140,5,1,3.4247,0.6849
6,144,140,3,1,2.0833,0.6944
7,144,140,3,1,2.0833,0.6944
8,146,142,3,1,2.0548,0.6849
9,148,144,3,1,2.0270,0.6757
10,149,146,2,1,1.3423,0.6711
11,152,151,0,1,0.0000,0.6579
12,157,156,0,1,0.0000,0.6369
13,158,157,0,1,0.0000,0.6329
14,159,158,0,1,0.0000,0.6289
15,163,162,0,1,0.0000,0.6135
16,163,162,0,1,0.0000,0.6135
17,165,164,0,1,0.0000,0.6061
18,165,164,0,1,0.0000,0.6061
19,166,165,0,1,0.0000,0.6024
20,167,166,0,1,0.0000,0.5988
21,167,166,0,1,0.0000,0.5988
22,167,166,0,1,0.0000,0.5988
23,172,171,0,1,0.0000,0.5814
24,174,173,0,1,0.0000,0.5747
25,175,174,0,1,0.0000,0.5714
26,178,177,0,1,0.0000,0.5618
27,179,178,0,1,0.0000,0.5587
28,181,180,0,1,0.0000,0.5525
29,183,182,0,1,0.0000,0.5464
30,186,185,0,1,0.0000,0.5376
31,188,187,0,1,0.0000,0.5319
32,193,192,0,1,0.0000,0.5181
33,194,193,0,1,0.0000,0.5155
34,196,195,0,1,0.0000,0.5102
35,198,197,0,1,0.0000,0.5051
36,200,199,0,1,0.0000,0.5000
37,204,203,0,1,0.0000,0.4902
38,209,208,0,1,0.0000,0.4785
39,213,212,0,1,0.0000,0.4695
40,216,215,0,1,0.0000,0.4630
41,217,216,0,1,0.0000,0.4608
42,219,219,0,0,0.0000,0.0000
43,219,219,0,0,0.0000,0.0000
44,222,222,0,0,0.0000,0.0000
45,224,224,0,0,0.0000,0.0000
46,225,225,0,0,0.0000,0.0000
47,227,227,0,0,0.0000,0.0000
48,227,227,0,0,0.0000,0.0000
49,231,231,0,0,0.0000,0.0000
50,232,232,0,0,0.0000,0.0000
51,234,234,0,0,0.0000,0.0000
52,237,237,0,0,0.0000,0.0000
53,240,240,0,0,0.0000,0.0000
54,240,240,0,0,0.0000,0.0000
55,245,245,0,0,0.0000,0.0000
56,248,248,0,0,0.0000,0.0000
57,255,255,0,0,0.0000,0.0000
58,255,255,0,0,0.0000,0.0000
59,258,258,0,0,0.0000,0.0000
60,260,260,0,0,0.0000,0.0000
61,263,263,0,0,0.0000,0.0000
62,267,267,0,0,0.0000,0.0000
63,271,271,0,0,0.0000,0.0000
64,273,273,0,0,0.0000,0.0000
65,276,276,0,0,0.0000,0.0000
66,279,279,0,0,0.0000,0.0000
67,285,285,0,0,0.0000,0.0000
68,287,287,0,0,0.0000,0.0000
69,290,290,0,0,0.0000,0.0000
70,293,293,0,0,0.0000,0.0000
71,296,296,0,0,0.0000,0.0000
72,298,298,0,0,0.0000,0.0000
73,299,299,0,0,0.0000,0.0000
74,303,303,0,0,0.0000,0.0000
75,303,303,0,0,0.0000,0.0000
76,303,303,0,0,0.0000,0.0000
77,303,303,0,0,0.0000,0.0000
78,303,303,0,0,0.0000,0.0000
79,303,303,0,0,0.0000,0.0000
80,303,303,0,0,0.0000,0.0000
81,303,303,0,0,0.0000,0.0000
82,303,303,0,0,0.0000,0.0000
83,303,303,0,0,0.0000,0.0000
84,303,303,0,0,0.0000,0.0000
85,303,303,0,0,0.0000,0.0000
86,303,303,0,0,0.0000,0.0000
87,303,303,0,0,0.0000,0.0000
88,303,303,0,0,0.0000,0.0000
89,303,303,0,0,0.0000,0.0000
90,303,303,0,0,0.0000,0.0000
91,303,303,0,0,0.0000,0.0000
92,303,303,0,0,0.0000,0.0000
93,303,303,0,0,0.0000,0.0000
94,303,303,0,0,0.0000,0.0000
95,303,303,0,0,0.0000,0.0000
96,303,303,0,0,0.0000,0.0000
97,302,302,0,0,0.0000,0.0000
98,302,302,0,0,0.0000,0.0000
99,302,302,0,0,0.0000,0.0000
100,302,302,0,0,0.0000,0.0000
101,302,302,0,0,0.0000,0.0000
102,302,302,0,0,0.0000,0.0000
103,302,302,0,0,0.0000,0.0000
104,302,302,0,0,0.0000,0.0000
105,302,302,0,0,0.0000,0.0000
106,302,302,0,0,0.0000,0.0000
107,302,302,0,0,0.0000,0.0000
108,301,301,0,0,0.0000,0.0000
109,301,301,0,0,0.0000,0.0000
110,301,301,0,0,0.0000,0.0000
111,301,301,0,0,0.0000,0.0000
112,301,301,0,0,0.0000,0.0000
113,301,301,0,0,0.0000,0.0000
114,301,301,0,0,0.0000,0.0000
115,301,301,0,0,0.0000,0.0000
116,301,301,0,0,0.0000,0.0000
117,301,301,0,0,0.0000,0.0000
118,301,301,0,0,0.0000,0.0000
119,301,301,0,0,0.0000,0.0000
120,301,301,0,0,0.0000,0.0000
121,301,301,0,0,0.0000,0.0000
122,301,301,0,0,0.0000,0.0000
123,301,301,0,0,0.0000,0.0000
124,301,301,0,0,0.0000,0.0000
125,301,301,0,0,0.0000,0.0000
126,301,301,0,0,0.0000,0.0000
127,301,301,0,0,0.0000,0.0000
128,301,301,0,0,0.0000,0.0000
129,301,301,0,0,0.0000,0.0000
130,301,301,0,0,0.0000,0.0000
131,301,301,0,0,0.0000,0.0000
132,301,301,0,0,0.0000,0.0000
133,300,300,0,0,0.0000,0.0000
134,299,299,0,0,0.0000,0.0000
135,300,300,0,0,0.0000,0.0000
136,300,300,0,0,0.0000,0.0000
137,300,300,0,0,0.0000,0.0000
138,300,300,0,0,0.0000,0.0000
139,300,300,0,0,0.0000,0.0000
140,300,300,0,0,0.0000,0.0000
141,300,300,0,0,0.0000,0.0000
142,300,300,0,0,0.0000,0.0000
143,300,300,0,0,0.0000,0.0000
144,300,300,0,0,0.0000,0.0000
145,300,300,0,0,0.0000,0.0000
146,300,300,0,0,0.0000,0.0000
147,300,300,0,0,0.0000,0.0000
148,300,300,0,0,0.0000,0.0000
149,299,299,0,0,0.0000,0.0000
150,302,302,0,0,0.0000,0.0000
151,301,301,0,0,0.0000,0.0000
152,301,301,0,0,0.0000,0.0000
153,301,301,0,0,0.0000,0.0000
154,301,301,0,0,0.0000,0.0000
155,301,301,0,0,0.0000,0.0000
156,301,301,0,0,0.0000,0.0000
157,301,301,0,0,0.0000,0.0000
158,301,301,0,0,0.0000,0.0000
159,301,301,0,0,0.0000,0.0000
160,301,301,0,0,0.0000,0.0000
161,301,301,0,0,0.0000,0.0000
162,301,301,0,0,0.0000,0.0000
163,301,301,0,0,0.0000,0.0000
164,301,301,0,0,0.0000,0.0000
165,301,301,0,0,0.0000,0.0000
166,301,301,0,0,0.0000,0.0000
167,301,301,0,0,0.0000,0.0000
168,301,301,0,0,0.0000,0.0000
169,301,301,0,0,0.0000,0.0000
170,301,301,0,0,0.0000,0.0000
171,301,301,0,0,0.0000,0.0000
172,301,301,0,0,0.0000,0.0000
173,301,301,0,0,0.0000,0.0000
174,301,301,0,0,0.0000,0.0000
175,301,301,0,0,0.0000,0.0000
176,301,301,0,0,0.0000,0.0000
177,301,301,0,0,0.0000,0.0000
178,301,301,0,0,0.0000,0.0000
179,301,301,0,0,0.0000,0.0000
180,301,301,0,0,0.0000,0.0000
181,299,299,0,0,0.0000,0.0000
182,303,303,0,0,0.0000,0.0000
183,303,303,0,0,0.0000,0.0000
184,303,303,0,0,0.0000,0.0000
185,303,303,0,0,0.0000,0.0000
186,303,303,0,0,0.0000,0.0000
187,303,303,0,0,0.0000,0.0000
188,303,303,0,0,0.0000,0.0000
189,302,302,0,0,0.0000,0.0000
190,302,302,0,0,0.0000,0.0000
191,302,302,0,0,0.0000,0.0000
192,302,302,0,0,0.0000,0.0000
193,302,302,0,0,0.0000,0.0000
194,302,302,0,0,0.0000,0.0000
195,302,302,0,0,0.0000,0.0000
196,301,301,0,0,0.0000,0.0000
197,301,301,0,0,0.0000,0.0000
198,301,301,0,0,0.0000,0.0000
199,301,301,0,0,0.0000,0.0000
200,301,301,0,0,0.0000,0.0000
201,301,301,0,0,0.0000,0.0000
202,301,301,0,0,0.0000,0.0000
203,301,301,0,0,0.0000,0.0000
204,301,301,0,0,0.0000,0.0000
205,301,301,0,0,0.0000,0.0000
206,301,301,0,0,0.0000,0.0000
207,301,301,0,0,0.0000,0.0000
208,301,301,0,0,0.0000,0.0000
209,301,301,0,0,0.0000,0.0000
210,301,301,0,0,0.0000,0.0000
211,301,301,0,0,0.0000,0.0000
212,301,301,0,0,0.0000,0.0000
213,301,301,0,0,0.0000,0.0000
214,301,301,0,0,0.0000,0.0000
215,301,301,0,0,0.0000,0.0000
216,301,301,0,0,0.0000,0.0000
217,301,301,0,0,0.0000,0.0000
218,301,301,0,0,0.0000,0.0000
219,301,301,0,0,0.0000,0.0000
220,301,301,0,0,0.0000,0.0000
221,301,301,0,0,0.0000,0.0000
222,301,301,0,0,0.0000,0.0000
223,301,301,0,0,0.0000,0.0000
224,301,301,0,0,0.0000,0.0000
225,301,301,0,0,0.0000,0.0000
226,301,301,0,0,0.0000,0.0000
227,301,301,0,0,0.0000,0.0000
228,301,301,0,0,0.0000,0.0000
229,301,301,0,0,0.0000,0.0000
230,301,301,0,0,0.0000,0.0000
231,301,301,0,0,0.0000,0.0000
232,301,301,0,0,0.0000,0.0000
233,300,300,0,0,0.0000,0.0000
234,300,300,0,0,0.0000,0.0000
235,300,300,0,0,0.0000,0.0000
236,300,300,0,0,0.0000,0.0000
237,300,300,0,0,0.0000,0.0000
238,300,300,0,0,0.0000,0.0000
239,300,300,0,0,0.0000,0.0000
240,300,300,0,0,0.0000,0.0000
241,300,300,0,0,0.0000,0.0000
242,300,300,0,0,0.0000,0.0000
243,300,300,0,0,0.0000,0.0000
244,300,300,0,0,0.0000,0.0000
245,300,300,0,0,0.0000,0.0000
246,299,299,0,0,0.0000,0.0000
247,303,303,0,0,0.0000,0.0000
248,303,303,0,0,0.0000,0.0000
249,303,303,0,0,0.0000,0.0000
250,303,303,0,0,0.0000,0.0000
251,303,303,0,0,0.0000,0.0000
252,303,303,0,0,0.0000,0.0000
253,303,303,0,0,0.0000,0.0000
254,303,303,0,0,0.0000,0.0000
255,303,303,0,0,0.0000,0.0000
256,303,303,0,0,0.0000,0.0000
257,303,303,0,0,0.0000,0.0000
258,303,303,0,0,0.0000,0.0000
259,303,303,0,0,0.0000,0.0000
260,303,303,0,0,0.0000,0.0000
261,303,303,0,0,0.0000,0.0000
262,303,303,0,0,0.0000,0.0000
263,303,303,0,0,0.0000,0.0000
264,303,303,0,0,0.0000,0.0000
265,303,303,0,0,0.0000,0.0000
266,303,303,0,0,0.0000,0.0000
267,303,303,0,0,0.0000,0.0000
268,303,303,0,0,0.0000,0.0000
269,303,303,0,0,0.0000,0.0000
270,303,303,0,0,0.0000,0.0000
271,303,303,0,0,0.0000,0.0000
272,302,302,0,0,0.0000,0.0000
273,302,302,0,0,0.0000,0.0000
274,302,302,0,0,0.0000,0.0000
275,302,302,0,0,0.0000,0.0000
276,302,302,0,0,0.0000,0.0000
277,302,302,0,0,0.0000,0.0000
278,302,302,0,0,0.0000,0.0000
279,302,302,0,0,0.0000,0.0000
280,302,302,0,0,0.0000,0.0000
281,302,302,0,0,0.0000,0.0000
282,302,302,0,0,0.0000,0.0000
283,301,301,0,0,0.0000,0.0000
284,301,301,0,0,0.0000,0.0000
285,301,301,0,0,0.0000,0.0000
286,300,300,0,0,0.0000,0.0000
287,300,300,0,0,0.0000,0.0000
288,300,300,0,0,0.0000,0.0000
289,300,300,0,0,0.0000,0.0000
290,300,300,0,0,0.0000,0.0000
291,300,300,0,0,0.0000,0.0000
292,300,300,0,0,0.0000,0.0000
293,299,299,0,0,0.0000,0.0000
294,303,303,0,0,0.0000,0.0000
295,303,303,0,0,0.0000,0.0000
296,303,303,0,0,0.0000,0.0000
297,303,303,0,0,0.0000,0.0000
298,303,303,0,0,0.0000,0.0000
299,303,303,0,0,0.0000,0.0000
300,303,303,0,0,0.0000,0.0000
301,303,303,0,0,0.0000,0.0000
302,303,303,0,0,0.0000,0.0000
303,303,303,0,0,0.0000,0.0000
304,303,303,0,0,0.0000,0.0000
305,303,303,0,0,0.0000,0.0000
306,303,303,0,0,0.0000,0.0000
307,303,303,0,0,0.0000,0.0000
308,303,303,0,0,0.0000,0.0000
309,303,303,0,0,0.0000,0.0000
310,303,303,0,0,0.0000,0.0000
311,303,303,0,0,0.0000,0.0000
312,303,303,0,0,0.0000,0.0000
313,303,303,0,0,0.0000,0.0000
314,303,303,0,0,0.0000,0.0000
315,303,303,0,0,0.0000,0.0000
316,303,303,0,0,0.0000,0.0000
317,303,303,0,0,0.0000,0.0000
318,303,303,0,0,0.0000,0.0000
319,303,303,0,0,0.0000,0.0000
320,303,303,0,0,0.0000,0.0000
321,303,303,0,0,0.0000,0.0000
322,303,303,0,0,0.0000,0.0000
323,303,303,0,0,0.0000,0.0000
324,303,303,0,0,0.0000,0.0000
325,303,303,0,0,0.0000,0.0000
326,303,303,0,0,0.0000,0.0000
327,303,303,0,0,0.0000,0.0000
328,303,303,0,0,0.0000,0.0000
329,303,303,0,0,0.0000,0.0000
330,303,303,0,0,0.0000,0.0000
331,303,303,0,0,0.0000,0.0000
332,303,303,0,0,0.0000,0.0000
333,303,303,0,0,0.0000,0.0000
334,302,302,0,0,0.0000,0.0000
335,302,302,0,0,0.0000,0.0000
336,302,302,0,0,0.0000,0.0000
337,302,302,0,0,0.0000,0.0000
338,302,302,0,0,0.0000,0.0000
339,302,302,0,0,0.0000,0.0000
340,302,302,0,0,0.0000,0.0000
341,302,302,0,0,0.0000,0.0000
342,302,302,0,0,0.0000,0.0000
343,302,302,0,0,0.0000,0.0000
344,302,302,0,0,0.0000,0.0000
345,302,302,0,0,0.0000,0.0000
346,302,302,0,0,0.0000,0.0000
347,302,302,0,0,0.0000,0.0000
348,301,301,0,0,0.0000,0.0000
349,301,301,0,0,0.0000,0.0000
350,301,301,0,0,0.0000,0.0000
351,301,301,0,0,0.0000,0.0000
352,301,301,0,0,0.0000,0.0000
353,301,301,0,0,0.0000,0.0000
354,301,301,0,0,0.0000,0.0000
355,301,301,0,0,0.0000,0.0000
356,301,301,0,0,0.0000,0.0000
357,301,301,0,0,0.0000,0.0000
358,301,301,0,0,0.0000,0.0000
359,301,301,0,0,0.0000,0.0000
360,301,301,0,0,0.0000,0.0000
361,301,301,0,0,0.0000,0.0000
362,301,301,0,0,0.0000,0.0000
363,301,301,0,0,0.0000,0.0000
364,301,301,0,0,0.0000,0.0000
365,301,301,0,0,0.0000,0.0000
366,301,301,0,0,0.0000,0.0000
367,301,301,0,0,0.0000,0.0000
368,301,301,0,0,0.0000,0.0000
369,301,301,0,0,0.0000,0.0000
370,301,301,0,0,0.0000,0.0000
371,300,300,0,0,0.0000,0.0000
372,300,300,0,0,0.0000,0.0000
373,300,300,0,0,0.0000,0.0000
374,300,300,0,0,0.0000,0.0000
375,300,300,0,0,0.0000,0.0000
376,300,300,0,0,0.0000,0.0000
377,300,300,0,0,0.0000,0.0000
378,300,300,0,0,0.0000,0.0000
379,300,300,0,0,0.0000,0.0000
380,300,300,0,0,0.0000,0.0000
381,300,300,0,0,0.0000,0.0000
382,300,300,0,0,0.0000,0.0000
383,300,300,0,0,0.0000,0.0000
384,300,300,0,0,0.0000,0.0000
385,300,300,0,0,0.0000,0.0000
386,300,300,0,0,0.0000,0.0000
387,299,299,0,0,0.0000,0.0000
388,301,301,0,0,0.0000,0.0000
389,301,301,0,0,0.0000,0.0000
390,301,301,0,0,0.0000,0.0000
391,301,301,0,0,0.0000,0.0000
392,301,301,0,0,0.0000,0.0000
393,301,301,0,0,0.0000,0.0000
394,301,301,0,0,0.0000,0.0000
395,301,301,0,0,0.0000,0.0000
396,301,301,0,0,0.0000,0.0000
397,301,301,0,0,0.0000,0.0000
398,301,301,0,0,0.0000,0.0000
399,301,301,0,0,0.0000,0.0000
400,300,300,0,0,0.0000,0.0000
401,300,300,0,0,0.0000,0.0000
402,300,300,0,0,0.0000,0.0000
403,300,300,0,0,0.0000,0.0000
404,300,300,0,0,0.0000,0.0000
405,300,300,0,0,0.0000,0.0000
406,300,300,0,0,0.0000,0.0000
407,300,300,0,0,0.0000,0.0000
408,300,300,0,0,0.0000,0.0000
409,300,300,0,0,0.0000,0.0000
410,300,300,0,0,0.0000,0.0000
411,300,300,0,0,0.0000,0.0000
412,300,300,0,0,0.0000,0.0000
413,299,299,0,0,0.0000,0.0000
414,305,305,0,0,0.0000,0.0000
415,305,305,0,0,0.0000,0.0000
416,305,305,0,0,0.0000,0.0000
417,305,305,0,0,0.0000,0.0000
418,305,305,0,0,0.0000,0.0000
419,305,305,0,0,0.0000,0.0000
420,305,305,0,0,0.0000,0.0000
421,305,305,0,0,0.0000,0.0000
422,305,305,0,0,0.0000,0.0000
423,305,305,0,0,0.0000,0.0000
424,305,305,0,0,0.0000,0.0000
425,305,305,0,0,0.0000,0.0000
426,305,305,0,0,0.0000,0.0000
427,305,305,0,0,0.0000,0.0000
428,305,305,0,0,0.0000,0.0000
429,305,305,0,0,0.0000,0.0000
430,305,305,0,0,0.0000,0.0000
431,305,305,0,0,0.0000,0.0000
432,305,305,0,0,0.0000,0.0000
433,305,305,0,0,0.0000,0.0000
434,305,305,0,0,0.0000,0.0000
435,305,305,0,0,0.0000,0.0000
436,305,305,0,0,0.0000,0.0000
437,305,305,0,0,0.0000,0.0000
438,305,305,0,0,0.0000,0.0000
439,305,305,0,0,0.0000,0.0000
440,305,305,0,0,0.0000,0.0000
441,305,305,0,0,0.0000,0.0000
442,305,305,0,0,0.0000,0.0000
443,305,305,0,0,0.0000,0.0000
444,305,305,0,0,0.0000,0.0000
445,305,305,0,0,0.0000,0.0000
446,305,305,0,0,0.0000,0.0000
447,305,305,0,0,0.0000,0.0000
448,305,305,0,0,0.0000,0.0000
449,305,305,0,0,0.0000,0.0000
450,305,305,0,0,0.0000,0.0000
451,305,305,0,0,0.0000,0.0000
452,304,304,0,0,0.0000,0.0000
453,304,304,0,0,0.0000,0.0000
454,304,304,0,0,0.0000,0.0000
455,304,304,0,0,0.0000,0.0000
456,304,304,0,0,0.0000,0.0000
457,304,304,0,0,0.0000,0.0000
458,304,304,0,0,0.0000,0.0000
459,304,304,0,0,0.0000,0.0000
