tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,97,10,43,6.6667,28.6667
1,151,98,10,43,6.6225,28.4768
2,153,100,10,43,6.5359,28.1046
3,155,102,10,43,6.4516,27.7419
4,157,104,10,43,6.3694,27.3885
5,158,103,12,43,7.5949,27.2152
6,159,103,13,43,8.1761,27.0440
7,161,104,14,43,8.6957,26.7081
8,161,104,14,43,8.6957,26.7081
9,165,108,14,43,8.4848,26.0606
10,166,109,14,43,8.4337,25.9036
11,166,109,14,43,8.4337,25.9036
12,168,108,17,43,10.1190,25.5952
13,169,108,18,43,10.6509,25.4438
14,169,107,19,43,11.2426,25.4438
15,172,110,19,43,11.0465,25.0000
16,175,111,21,43,12.0000,24.5714
17,177,111,23,43,12.9944,24.2938
18,178,112,23,43,12.9213,24.1573
19,179,110,26,43,14.5251,24.0223
20,184,113,28,43,15.2174,23.3696
21,186,115,19,52,10.2151,27.9570
22,187,116,19,52,10.1604,27.8075
23,188,116,20,52,10.6383,27.6596
24,189,117,20,52,10.5820,27.5132
25,193,121,19,53,9.8446,27.4611
26,192,120,18,54,9.3750,28.1250
27,193,121,17,55,8.8083,28.4974
28,194,122,17,55,8.7629,28.3505
29,195,123,17,55,8.7179,28.2051
30,197,124,18,55,9.1371,27.9188
31,197,124,18,55,9.1371,27.9188
32,198,123,20,55,10.1010,27.7778
33,199,125,17,57,8.5427,28.6432
34,201,126,17,58,8.4577,28.8557
35,201,126,17,58,8.4577,28.8557
36,201,126,15,60,7.4627,29.8507
37,203,128,15,60,7.3892,29.5567
38,204,129,13,62,6.3725,30.3922
39,204,129,11,64,5.3922,31.3725
40,207,132,8,67,3.8647,32.3671
41,209,133,9,67,4.3062,32.0574
42,211,133,10,68,4.7393,32.2275
43,216,137,11,68,5.0926,31.4815
44,216,137,11,68,5.0926,31.4815
45,217,137,12,68,5.5300,31.3364
46,219,138,12,69,5.4795,31.5068
47,221,138,14,69,6.3348,31.2217
48,221,137,15,69,6.7873,31.2217
49,221,137,15,69,6.7873,31.2217
50,225,140,15,70,6.6667,31.1111
51,228,140,18,70,7.8947,30.7018
52,228,181,20,27,8.7719,11.8421
53,230,183,18,29,7.8261,12.6087
54,233,186,18,29,7.7253,12.4464
55,235,188,18,29,7.6596,12.3404
56,238,191,18,29,7.5630,12.1849
57,242,193,20,29,8.2645,11.9835
58,247,196,22,29,8.9069,11.7409
59,250,195,26,29,10.4000,11.6000
60,252,194,29,29,11.5079,11.5079
61,252,190,32,30,12.6984,11.9048
62,253,190,32,31,12.6482,12.2530
63,253,190,32,31,12.6482,12.2530
64,258,190,35,33,13.5659,12.7907
65,259,188,38,33,14.6718,12.7413
66,265,191,40,34,15.0943,12.8302
67,267,193,40,34,14.9813,12.7341
68,271,190,44,37,16.2362,13.6531
69,273,190,46,37,16.8498,13.5531
70,275,188,50,37,18.1818,13.4545
71,278,182,57,39,20.5036,14.0288
72,278,180,57,41,20.5036,14.7482
73,279,189,58,32,20.7885,11.4695
74,280,189,58,33,20.7143,11.7857
75,281,188,60,33,21.3523,11.7438
76,281,175,73,33,25.9786,11.7438
77,282,175,74,33,26.2411,11.7021
78,283,173,76,34,26.8551,12.0141
79,284,173,76,35,26.7606,12.3239
80,283,167,78,38,27.5618,13.4276
81,284,166,79,39,27.8169,13.7324
82,286,164,80,42,27.9720,14.6853
83,289,161,85,43,29.4118,14.8789
84,288,154,88,46,30.5556,15.9722
85,291,155,89,47,30.5842,16.1512
86,293,151,93,49,31.7406,16.7235
87,292,146,95,51,32.5342,17.4658
88,294,146,96,52,32.6531,17.6871
89,294,145,93,56,31.6327,19.0476
90,296,145,96,55,32.4324,18.5811
91,296,142,94,60,31.7568,20.2703
92,296,136,99,61,33.4459,20.6081
93,295,124,109,62,36.9492,21.0169
94,297,116,117,64,39.3939,21.5488
95,300,107,127,66,42.3333,22.0000
96,300,102,126,72,42.0000,24.0000
97,298,95,124,79,41.6107,26.5101
98,299,90,128,81,42.8094,27.0903
99,299,87,129,83,43.1438,27.7592
100,298,83,128,87,42.9530,29.1946
101,297,74,134,89,45.1178,29.9663
102,298,67,140,91,46.9799,30.5369
103,300,63,139,98,46.3333,32.6667
104,297,61,134,102,45.1178,34.3434
105,300,63,133,104,44.3333,34.6667
106,299,62,127,110,42.4749,36.7893
107,299,59,126,114,42.1405,38.1271
108,302,60,125,117,41.3907,38.7417
109,301,58,121,122,40.1993,40.5316
110,300,53,125,122,41.6667,40.6667
111,298,50,122,126,40.9396,42.2819
112,298,48,118,132,39.5973,44.2953
113,298,46,112,140,37.5839,46.9799
114,297,47,97,153,32.6599,51.5152
115,297,45,94,158,31.6498,53.1987
116,296,46,88,162,29.7297,54.7297
117,300,49,83,168,27.6667,56.0000
118,299,50,77,172,25.7525,57.5251
119,299,52,72,175,24.0803,58.5284
